,author,date,link,views
4 Disasters That Couldn't Have Happened Anywhere Else,Kristi Harrison,2014-01-08 00:00:00,http://www.cracked.com/blog/4-disasters-that-couldnt-have-happened-anywhere-else/,869874
5 Seemingly Insignificant Things That Make People Like You,P. Chung,2014-01-09 00:00:00,http://www.cracked.com/article_20779_5-seemingly-insignificant-things-that-make-people-like-you.html,2856971
5 Self-Improvement Techniques That Actually Make You Dumber,J.F. Sargent,2014-01-09 00:00:00,http://www.cracked.com/blog/5-self-improvement-techniques-that-actually-make-you-dumber/,617165
The 6 Most Uplifting Facts About the Human Race,Robert Evans,2014-01-09 00:00:00,http://www.cracked.com/blog/the-6-most-uplifting-facts-about-human-race/,763972
5 Things That Have to Happen Before You Fix Your Crappy Life,John Cheese,2014-01-09 00:00:00,http://www.cracked.com/blog/5-things-that-have-to-happen-before-you-fix-your-crappy-life/,1242506
5 Hilariously Awkward Meltdowns Hidden on DVD Commentaries,"Dustin Koski, Michael Taylor",2014-01-10 00:00:00,http://www.cracked.com/article_20769_5-hilariously-awkward-meltdowns-hidden-dvd-commentaries.html,1322816
What Video Game Characters Do With Their Downtime,CRACKED Readers,2014-01-10 00:00:00,http://www.cracked.com/photoplasty_757_what-video-game-characters-do-with-their-downtime/,359576
The 7 Least Anticipated Albums of 2014,Adam Tod Brown,2014-01-10 00:00:00,http://www.cracked.com/blog/the-7-least-anticipated-albums-2014/,636405
5 Weird Inventions Science Is Creating Just to Gross Us Out,Josh Hrala,2014-01-11 00:00:00,http://www.cracked.com/article_20740_5-weird-inventions-science-creating-just-to-gross-us-out.html,729957
7 Criminals Who Made Getting Caught Look Easy,Luke McKinney,2014-01-11 00:00:00,http://www.cracked.com/blog/7-criminals-who-made-getting-caught-look-easy/,394901
6 Commonly Used Phrases That Make Everyone Hate You,Erin Mallory Long,2014-01-11 00:00:00,http://www.cracked.com/blog/6-commonly-used-phrases-that-make-everyone-hate-you/,1201640
5 Jokes That Make People in Service Jobs Want to Kill You,Gladstone,2014-01-11 00:00:00,http://www.cracked.com/blog/5-jokes-that-make-people-in-service-jobs-want-to-kill-you/,1880688
25 Subtle Changes That Ruin Dignified Historical Images,CRACKED Readers,2014-01-12 00:00:00,http://www.cracked.com/photoplasty_759_25-subtle-changes-that-ruin-dignified-historical-images/,390783
5 Shockingly Outdated Problems Women in the Military Face,"J.F. Sargent, Donna Noble, Sara Ohlms",2014-01-12 00:00:00,http://www.cracked.com/personal-experiences-1244-5-shockingly-outdated-problems-women-in-military-face.html,1404388
4 Offensive Jokes That Could Have Easily Been Fixed,Felix Clay,2014-01-12 00:00:00,http://www.cracked.com/blog/4-offensive-jokes-that-could-have-easily-been-fixed/,967612
The 5 Best Pieces of Writing Advice I Didn't Get in School,Gladstone,2014-01-12 00:00:00,http://www.cracked.com/blog/the-5-best-pieces-writing-advice-i-didnt-get-in-school/,500038
The 6 Most Unintentionally Offensive Publicity Campaigns,Pat Carnell,2014-01-13 00:00:00,http://www.cracked.com/article_20805_the-6-most-unintentionally-offensive-publicity-campaigns.html,902189
Why the Academy Awards Got the '90s So Wrong,,2014-01-13 00:00:00,http://www.cracked.com/podcast/why-academy-awards-got-90s-so-wrong,0
5 Surprising Ways Your Language Affects How You Think,Mike Floorwalker,2014-01-13 00:00:00,http://www.cracked.com/article_20744_5-surprising-ways-your-language-affects-how-you-think.html,827004
20 Annoying 'Modern' Trends That Are Older Than You Think,CRACKED Readers,2014-01-13 00:00:00,http://www.cracked.com/photoplasty_763_20-annoying-modern-trends-that-are-older-than-you-think/,806913
5 Famous Quotes With Inspiring Origins (That Are Total BS),Carmen Burana,2014-01-14 00:00:00,http://www.cracked.com/article_20813_5-famous-quotes-with-inspiring-origins-that-are-total-bs.html,839956
Store Update: A Sale as Black as the Frozen Heart of Winter,CRACKED Staff,2014-01-14 00:00:00,http://www.cracked.com/blog/store-update-sale-as-black-as-frozen-heart-winter/,43261
5 Things No One Tells You About Raising Teens,Kristi Harrison,2014-01-14 00:00:00,http://www.cracked.com/blog/5-things-no-one-tells-you-about-raising-teens/,607694
6 Overused Phrases It's Time to Retire,Chris Bucholz,2014-01-14 00:00:00,http://www.cracked.com/blog/6-overused-phrases-its-time-to-retire/,790502
6 Things Gun Lovers and Haters Can Agree On,Robert Evans,2014-01-14 00:00:00,http://www.cracked.com/blog/6-things-gun-lovers-haters-can-agree-on/,868777
5 Movies That Sent the Opposite of Their Intended Message,C. Coville,2014-01-15 00:00:00,http://www.cracked.com/blog/5-movies-that-sent-opposite-their-intended-message/,1173528
6 Shocking Realities of the Secret 'Troubled Teen Industry',"Robert Evans, Victoria Jane",2014-01-15 00:00:00,http://www.cracked.com/personal-experiences-1270-6-shocking-realities-secret-troubled-teen-industry.html,2163398
The 22 Most Misleading Viral Photos (Explained),CRACKED Readers,2014-01-15 00:00:00,http://www.cracked.com/photoplasty_761_the-22-most-misleading-viral-photos-explained/,2093767
The 5 Most Ridiculous Ways Studios Spoiled Their Own Movies,Cezary Jan Strusiewicz,2014-01-16 00:00:00,http://www.cracked.com/blog/the-5-most-ridiculous-ways-studios-spoiled-their-own-movies/,1077745
5 Reasons High School Doesn't Prepare You For Work,John Cheese,2014-01-16 00:00:00,http://www.cracked.com/blog/5-reasons-high-school-doesnt-prepare-you-work/,587423
4 Comic Book Fan Theories Way Cooler Than the Comic Book,Maxwell Yezpitelok,2014-01-16 00:00:00,http://www.cracked.com/blog/4-comic-book-fan-theories-way-cooler-than-comic-book/,1233307
6 Shocking Studies That Prove Science Is Totally Broken,"Andrew Marinus, Alan Boyle, Jon Pearl",2014-01-16 00:00:00,http://www.cracked.com/article_20789_6-shocking-studies-that-prove-science-totally-broken.html,1084260
21 Rules We Should Suspend/Enforce One Day Each Year,CRACKED Readers,2014-01-17 00:00:00,http://www.cracked.com/photoplasty_765_21-rules-we-should-suspendenforce-one-day-each-year/,489336
6 Legitimate Organizations That Secretly Act Like the Mafia,A.C. Grimes,2014-01-17 00:00:00,http://www.cracked.com/article_20716_6-legitimate-organizations-that-secretly-act-like-mafia.html,731715
5 Reasons the Winter Olympics Are the Best Olympics,Adam Tod Brown,2014-01-17 00:00:00,http://www.cracked.com/blog/5-reasons-winter-olympics-are-best-olympics/,341692
8 Crazy Sports Traditions That Got Out of Control,Luis Prada,2014-01-18 00:00:00,http://www.cracked.com/blog/8-crazy-sports-traditions-that-got-out-control/,604422
8 Criminals Who Took Dumbassery to Staggering Heights,Felix Clay,2014-01-18 00:00:00,http://www.cracked.com/blog/8-criminals-who-took-dumbassery-to-staggering-heights/,734662
6 Dog Breeds With Secret Superpowers,"E. Reid Ross, Dominik Zezula",2014-01-18 00:00:00,http://www.cracked.com/article_20831_6-dog-breeds-with-secret-superpowers.html,1477809
"5 Reasons My Dog Is a Lazy, Worthless Millennial",Christina H,2014-01-18 00:00:00,http://www.cracked.com/blog/5-reasons-my-dog-lazy-worthless-millennial/,285791
Why Shia LaBeouf Is Hollywood's New King of Jerks,Luke McKinney,2014-01-19 00:00:00,http://www.cracked.com/blog/why-shia-labeouf-hollywoods-new-king-jerks/,788286
42 Sci-Fi Movies (If They Were Updated for Realism),CRACKED Readers,2014-01-19 00:00:00,http://www.cracked.com/photoplasty_767_42-sci-fi-movies-if-they-were-updated-realism/,528747
5 Things I Learned Working With Somali Pirates,"Robert Evans, Thymaya Payne",2014-01-19 00:00:00,http://www.cracked.com/personal-experiences-1278-5-things-i-learned-working-with-somali-pirates.html,688920
39 Innocent Gestures That Will Make People Overseas Hate You,CRACKED Readers,2014-01-20 00:00:00,http://www.cracked.com/photoplasty_771_39-innocent-gestures-that-will-make-people-overseas-hate-you/,999455
Why America Loves to Freak Out About Made Up Crime Waves,,2014-01-20 00:00:00,http://www.cracked.com/podcast/why-america-loves-to-freak-out-about-made-up-crime-waves,0
6 Actors Who Thought They Had Made a Totally Different Movie,P. Chung,2014-01-20 00:00:00,http://www.cracked.com/article_20791_6-actors-who-thought-they-had-made-totally-different-movie.html,3611860
5 Animals That Refuse to Play by the Rules of Evolution,"Dylan Moore, Ed Stevens, Ryan Menezes, Sativa Savant",2014-01-20 00:00:00,http://www.cracked.com/article_20730_5-animals-that-refuse-to-play-by-rules-evolution.html,1017568
5 Facts Everyone Gets Wrong About Depression,Mark Hill,2014-01-21 00:00:00,http://www.cracked.com/blog/5-facts-everyone-gets-wrong-about-depression/,2057844
1 New Pop Culture Mashup Shirt (Plus a New Design Contest),CRACKED Staff,2014-01-21 00:00:00,http://www.cracked.com/blog/store-update-in-which-we-bask-in-terror-nostalgia/,31313
Advice for a Man Trapped in the Near-Term Future,Chris Bucholz,2014-01-21 00:00:00,http://www.cracked.com/blog/advice-man-trapped-in-near-term-future/,111170
5 Ways Growing Up Inside Scientology Was a Nightmare,"Robert Evans, Anonymous",2014-01-21 00:00:00,http://www.cracked.com/personal-experiences-1274-5-ways-growing-up-inside-scientology-was-nightmare.html,1896209
4 Ways We're Programmed to Think Women Aren't Funny,Kathy Benjamin,2014-01-21 00:00:00,http://www.cracked.com/blog/4-ways-were-programmed-to-think-women-arent-funny/,945347
5 Amazing Magical Powers Created by Simple Science,"Steve Shapiro, Daniel Nest, Captain D",2014-01-22 00:00:00,http://www.cracked.com/article_20829_5-amazing-magical-powers-created-by-simple-science.html,832827
30 Most Baffling Design Flaws of Popular Products,CRACKED Readers,2014-01-22 00:00:00,http://www.cracked.com/photoplasty_769_30-most-baffling-design-flaws-popular-products/,1112353
5 Ways Your Brain Is Turning You into a Jerk,Pauli Poisuo,2014-01-22 00:00:00,http://www.cracked.com/blog/5-ways-your-brain-turning-you-into-jerk/,625359
4 Exaggerated Dangers Everyone Loves to Hype,J.F. Sargent,2014-01-23 00:00:00,http://www.cracked.com/blog/4-exaggerated-dangers-everyone-loves-to-hype/,792047
5 Tips for Awkward People Looking to Make New Friends,John Cheese,2014-01-23 00:00:00,http://www.cracked.com/blog/5-tips-awkward-people-looking-to-make-new-friends/,797641
4 Bad Movies That Were Hilariously Sure of a Sequel,Tom Reimann,2014-01-23 00:00:00,http://www.cracked.com/blog/4-bad-movies-that-were-hilariously-sure-sequel/,1118447
5 Famous Pieces of Presidential Trivia (That Are Total BS),Alex Hanton,2014-01-23 00:00:00,http://www.cracked.com/article_20777_5-famous-pieces-presidential-trivia-that-are-total-bs.html,985658
5 Reasons San Francisco Is Still the Worst Awesome City Ever,Adam Tod Brown,2014-01-24 00:00:00,http://www.cracked.com/blog/5-reasons-san-francisco-still-worst-awesome-city-ever/,478958
5 Ways Life in Iran Is Nothing Like You Think,"Eric Yosomono, Lloyd George",2014-01-24 00:00:00,http://www.cracked.com/article_20855_5-ways-life-in-iran-nothing-like-you-think.html,1032694
If 33 Famous Movies Were Made into Trilogies,CRACKED Readers,2014-01-24 00:00:00,http://www.cracked.com/photoplasty_773_if-33-famous-movies-were-made-into-trilogies/,395944
The 6 Most Horrifying Product Recalls in China,Felix Clay,2014-01-25 00:00:00,http://www.cracked.com/blog/the-6-most-horrifying-product-recalls-in-china/,1042655
3 Reasons You Shouldn't Shame Your Kids on the Internet,Gladstone,2014-01-25 00:00:00,http://www.cracked.com/blog/3-reasons-you-shouldnt-shame-your-kids-internet/,381457
5 Real Planets Way Weirder Than Anything in Science Fiction,Andrew Heaton,2014-01-25 00:00:00,http://www.cracked.com/article_20702_5-real-planets-way-weirder-than-anything-in-science-fiction.html,1030144
4 Insane Ways Video Games Changed During My 9-Year Hiatus,Jason Iannone,2014-01-25 00:00:00,http://www.cracked.com/blog/4-insane-ways-video-games-changed-during-my-9-year-hiatus/,724500
6 Insane Easter Eggs Buried in Famous TV Shows,Aaron Short,2014-01-26 00:00:00,http://www.cracked.com/article_20677_6-insane-easter-eggs-buried-in-famous-tv-shows.html,3009509
5 Terrible Things That Are So Great They Can't Be Improved,Gladstone,2014-01-26 00:00:00,http://www.cracked.com/blog/5-terrible-things-that-are-so-great-they-cant-be-improved/,1059651
"22 Movie Titles, Re-Worded for Simplicity",CRACKED Readers,2014-01-26 00:00:00,http://www.cracked.com/photoplasty_775_22-movie-titles-re-worded-simplicity/,590594
Help! We're Losing All Our Writers to Fame and Fortune,David Wong,2014-01-26 00:00:00,http://www.cracked.com/article_20935_help21-were-losing-all-our-writers-to-fame-fortune.html,196537
The 5 Most Elaborately Hidden Video Game Easter Eggs,"Karl Smallwood, Ed Stevens, Ivan Farkas",2014-01-27 00:00:00,http://www.cracked.com/article_20825_the-5-most-elaborately-hidden-video-game-easter-eggs.html,1552634
2 New 'Star Wars' Shirts (Plus an Epic Sale for Sci-Fi Fans),CRACKED Staff,2014-01-27 00:00:00,http://www.cracked.com/blog/2-new-star-wars-shirts-plus-epic-sale-sci-fi-fans/,31497
5 Organizations That Gamed the System and Screwed the Public,A.C. Grimes,2014-01-27 00:00:00,http://www.cracked.com/article_20835_5-organizations-that-gamed-system-screwed-public.html,623013
Why 'Star Wars' Should Ditch Han Solo and the Skywalkers,,2014-01-27 00:00:00,http://www.cracked.com/podcast/why-star-wars-should-ditch-han-solo-skywalkers,0
26 Hilariously Inaccurate Predictions About the Future,CRACKED Readers,2014-01-27 00:00:00,http://www.cracked.com/photoplasty_777_26-hilariously-inaccurate-predictions-about-future/,1010739
4 Weirdly Specific Things Movies Believe About Food,Cezary Jan Strusiewicz,2014-01-28 00:00:00,http://www.cracked.com/blog/4-weirdly-specific-things-movies-believe-about-food/,1027587
The 5 Most Useless Pieces of Advice Everyone Gives,David Wong,2014-01-28 00:00:00,http://www.cracked.com/blog/the-5-most-useless-pieces-advice-everyone-gives/,1261590
5 Awesome Planets We Used to Think Were in Our Solar System,Chris Bucholz,2014-01-28 00:00:00,http://www.cracked.com/blog/5-awesome-planets-we-used-to-think-were-in-our-solar-system/,653818
5 Movie Heroes Who Caused Their Own Biggest Problems,Aatif Zubair,2014-01-29 00:00:00,http://www.cracked.com/article_20847_5-movie-heroes-who-caused-their-own-biggest-problems.html,889707
17 Tiny Things With Mind-Blowing Global Consequences,CRACKED Readers,2014-01-29 00:00:00,http://www.cracked.com/photoplasty_779_17-tiny-things-with-mind-blowing-global-consequences/,818861
4 Reasons 'Star Wars' Is Better Than 'Star Trek',Robert Evans,2014-01-29 00:00:00,http://www.cracked.com/blog/4-reasons-star-wars-better-than-star-trek/,745320
10 Brilliant Comedy Moments Hidden on YouTube,John Cheese,2014-01-30 00:00:00,http://www.cracked.com/blog/10-brilliant-comedy-moments-hidden-youtube/,944405
6 Creepy Artificial Animals You Won't Believe Exist,Pauli Poisuo,2014-01-30 00:00:00,http://www.cracked.com/blog/6-creepy-artificial-animals-you-wont-believe-exist/,460625
5 Things Everyone Gets Wrong About Mental Illness,J.F. Sargent,2014-01-30 00:00:00,http://www.cracked.com/blog/5-things-everyone-gets-wrong-about-mental-illness/,591170
6 Famous Musicians Who Swiped Their Biggest Hits from Others,Amanda Mannen,2014-01-30 00:00:00,http://www.cracked.com/article_20891_6-famous-musicians-who-swiped-their-biggest-hits-from-others.html,1206776
6 Things Movies Don't Show You About Life on a Submarine,"Robert Evans, Cleve Langdale",2014-01-31 00:00:00,http://www.cracked.com/personal-experiences-1276-6-things-movies-dont-show-you-about-life-submarine.html,1430775
The 5 Biggest Lies Everyone Tells About the Super Bowl,Adam Tod Brown,2014-01-31 00:00:00,http://www.cracked.com/blog/the-5-biggest-lies-everyone-tells-about-super-bowl/,864469
34 Children's Books Updated for Modern Problems,CRACKED Readers,2014-01-31 00:00:00,http://www.cracked.com/photoplasty_781_34-childrens-books-updated-modern-problems/,636163
Live-Blogging the 'Super Mario Bros.' Universe,Maxwell Yezpitelok,2014-02-01 00:00:00,http://www.cracked.com/blog/live-blogging-super-mario-bros.-universe/,125675
The 5 Craziest Things That Give People an Orgasm,Felix Clay,2014-02-01 00:00:00,http://www.cracked.com/blog/the-5-craziest-things-that-give-people-orgasm/,1533957
5 Jokes That Make Customer Service People Hate You (Pt. 2),Gladstone,2014-02-01 00:00:00,http://www.cracked.com/blog/5-jokes-that-make-customer-service-people-hate-you-pt.-2/,820185
5 Presidents Who Were Total Badasses in Their Youth,Gavin Jamieson,2014-02-02 00:00:00,http://www.cracked.com/article_20913_5-presidents-who-were-total-badasses-in-their-youth.html,861156
The 29 Worst Text Messages You Can Receive,CRACKED Readers,2014-02-02 00:00:00,http://www.cracked.com/photoplasty_783_the-29-worst-text-messages-you-can-receive/,1055645
10 Insane Diets No One Should Ever Try,Brendan McGinley,2014-02-02 00:00:00,http://www.cracked.com/blog/10-insane-diets-no-one-should-ever-try/,684212
16 Ridiculous Examples of Bureaucracy in Action,CRACKED Readers,2014-02-03 00:00:00,http://www.cracked.com/photoplasty_785_16-ridiculous-examples-bureaucracy-in-action/,509970
Superpowers That Every Movie Character Has,,2014-02-03 00:00:00,http://www.cracked.com/podcast/superpowers-that-every-movie-character-has,0
5 Insane Crimes That People Just Made Up,Robin Warder,2014-02-03 00:00:00,http://www.cracked.com/article_20803_5-insane-crimes-that-people-just-made-up.html,720436
5 Amazing Performances by Actors Who Weren't Acting (Part 3),Aaron Short,2014-02-03 00:00:00,http://www.cracked.com/article_20853_5-amazing-performances-by-actors-who-werent-acting-part-3.html,2049873
7 Things a Record Deal Teaches You About the Music Industry,"Robert Evans, Spose",2014-02-04 00:00:00,http://www.cracked.com/personal-experiences-1288-7-things-record-deal-teaches-you-about-music-industry.html,992440
The 3 Most Perfect Crimes (and How to Commit Them),Chris Bucholz,2014-02-04 00:00:00,http://www.cracked.com/blog/the-3-most-perfect-crimes-and-how-to-commit-them/,512340
4 Real Products That Prove We Can Ruin Anything,Pauli Poisuo,2014-02-04 00:00:00,http://www.cracked.com/blog/4-real-products-that-prove-we-can-ruin-anything/,852432
Two New Shirts That Both Replicants and Humans Can Love,CRACKED Staff,2014-02-04 00:00:00,http://www.cracked.com/blog/two-new-shirts-that-both-replicants-humans-can-love/,50102
5 Relationship Zones Worse than 'the Friend Zone',"Winston Rowntree, J.F. Sargent",2014-02-04 00:00:00,http://www.cracked.com/blog/5-relationship-zones-worse-than-the-friend-zone/,2160833
6 Awesome Theories That Totally Change Famous Characters,Cezary Jan Strusiewicz,2014-02-05 00:00:00,http://www.cracked.com/blog/6-awesome-theories-that-totally-change-famous-characters/,2544831
5 Innocent Phrases With Surprisingly Dark Origins,Brenna Crotty,2014-02-05 00:00:00,http://www.cracked.com/article_20837_5-innocent-phrases-with-surprisingly-dark-origins.html,1146331
29 Movie Adaptations That Left Out the Best Parts,CRACKED Readers,2014-02-05 00:00:00,http://www.cracked.com/photoplasty_787_29-movie-adaptations-that-left-out-best-parts/,794658
6 Surprising Realities of Being a Military Bomb Hunter,"Robert Evans, Jim Walker",2014-02-06 00:00:00,http://www.cracked.com/personal-experiences-1266-6-things-you-learn-detonating-roadside-bombs-living.html,624270
5 Questions That Movie Plots Never Seem to Answer,C. Coville,2014-02-06 00:00:00,http://www.cracked.com/blog/5-questions-that-movie-plots-never-seem-to-answer/,2166834
The 12 Best Valentine's Day Gifts for True Nerds,John Cheese,2014-02-06 00:00:00,http://www.cracked.com/blog/the-12-best-valentines-day-gifts-true-nerds/,797154
The 3 Most Depressing Minor Characters in Famous Movies,Daniel O'Brien,2014-02-06 00:00:00,http://www.cracked.com/blog/the-3-most-depressing-minor-characters-in-famous-movies/,2017367
41 New Events That Would Get Us to Watch the Winter Olympics,CRACKED Readers,2014-02-07 00:00:00,http://www.cracked.com/photoplasty_789_41-new-events-that-would-get-us-to-watch-winter-olympics/,283471
5 Duets by Musicians Who Were Singing Different Songs,Adam Tod Brown,2014-02-07 00:00:00,http://www.cracked.com/blog/5-duets-by-musicians-who-were-singing-different-songs/,587351
5 Mistakes Every Dog Owner Makes (An Insider's Perspective),"Robert Evans, Mischa Oldman",2014-02-07 00:00:00,http://www.cracked.com/personal-experiences-1254-5-mistakes-every-dog-owner-makes-an-insiders-perspective.html,1149385
4 Reasons We Were Right Not to Boycott the Olympics,Kathy Benjamin,2014-02-08 00:00:00,http://www.cracked.com/blog/4-reasons-we-were-right-not-to-boycott-olympics/,445035
6 Things No One Wants to Hear About Your Job,Christina H,2014-02-08 00:00:00,http://www.cracked.com/blog/6-things-no-one-wants-to-hear-about-your-job/,578273
5 Disgusting Habits Everyone Has (When No One's Looking),Felix Clay,2014-02-08 00:00:00,http://www.cracked.com/blog/5-disgusting-habits-everyone-has-when-no-ones-looking/,1028287
5 Terrifying Trends Currently Overtaking Etsy,Elle B.,2014-02-08 00:00:00,http://www.cracked.com/article_20857_5-terrifying-trends-currently-overtaking-etsy.html,634444
5 Superheroes Who Should've Gotten Movies Before Ant-Man,Luke McKinney,2014-02-09 00:00:00,http://www.cracked.com/blog/5-superheroes-who-shouldve-gotten-movies-before-ant-man/,1375999
6 Unintentionally Hilarious Songs by Fictional Characters,Scott Elizabeth Baird,2014-02-09 00:00:00,http://www.cracked.com/article_20865_6-unintentionally-hilarious-songs-by-fictional-characters.html,588702
If 22 Famous Video Game Titles Were Taken Literally,CRACKED Readers,2014-02-09 00:00:00,http://www.cracked.com/photoplasty_791_if-22-famous-video-game-titles-were-taken-literally/,443161
13 Old-Timey Photos You Won't Believe Aren't Photoshopped 3,Jacopo della Quercia,2014-02-10 00:00:00,http://www.cracked.com/article_20883_13-old-timey-photos-you-wont-believe-arent-photoshopped-3.html,994107
2 New Shirts for Picard and NES Lovers and 1 Huge Sale,CRACKED Staff,2014-02-10 00:00:00,http://www.cracked.com/blog/2-new-shirts-that-promise-love-long-life/,52386
5 Insane Ways People Trolled the System (And Won),Chan Teik Onn,2014-02-10 00:00:00,http://www.cracked.com/article_20807_5-insane-ways-people-trolled-system-and-won.html,884994
Why 3 Total Strangers Invented Harry Potter at the Same Time,,2014-02-10 00:00:00,http://www.cracked.com/podcast/why-3-total-strangers-invented-harry-potter-at-same-time,0
21 Biblical Weather Events That Actually Happened,CRACKED Readers,2014-02-10 00:00:00,http://www.cracked.com/photoplasty_795_21-biblical-weather-events-that-actually-happened/,663831
3 Ways To Guarantee You'll Be The Boss Of The Party,Dave Styler,2014-02-11 00:00:00,http://www.cracked.com/article_20526_3-ways-to-guarantee-youll-be-boss-party.html,77097
5 Life Lessons You Learn from Being Bullied,Pauli Poisuo,2014-02-11 00:00:00,http://www.cracked.com/blog/5-life-lessons-you-learn-from-being-bullied/,677133
5 Environmental Myths Too Many People Still Believe,Chris Bucholz,2014-02-11 00:00:00,http://www.cracked.com/blog/5-environmental-myths-too-many-people-still-believe/,993505
6 Surprising Ways Life Looks Different With Terminal Disease,"Robert Evans, Jay Gironimi",2014-02-11 00:00:00,http://www.cracked.com/personal-experiences-1272-6-surprising-ways-life-looks-different-with-terminal-disease.html,897944
The 5 Most Insane Ways Underdogs Won Olympic Medals,"Evan V. Symon , Justin Crockett, Leo Castelli",2014-02-11 00:00:00,http://www.cracked.com/article_20877_the-5-most-insane-ways-underdogs-won-olympic-medals.html,714296
16 Insane Facts About the Making of Everyday Products,CRACKED Readers,2014-02-12 00:00:00,http://www.cracked.com/photoplasty_793_16-insane-facts-about-making-everyday-products/,868348
5 Ways You Didn't Realize the English Language Is Defective,C. Coville,2014-02-12 00:00:00,http://www.cracked.com/blog/5-ways-you-didnt-realize-english-language-defective/,800339
6 Baffling Video Games Adapted From Famous Movies and Shows,Chris Rio,2014-02-12 00:00:00,http://www.cracked.com/article_20919_6-baffling-video-games-adapted-from-famous-movies-shows.html,891295
5 Attempts at Espionage That Seem Too Dumb to Be Real,"Alex Hanton, Evan V. Symon",2014-02-13 00:00:00,http://www.cracked.com/article_20771_5-attempts-at-espionage-that-seem-too-dumb-to-be-real.html,716243
5 Secret Upsides of Growing Up With Divorced Parents,John Cheese,2014-02-13 00:00:00,http://www.cracked.com/blog/5-secret-upsides-growing-up-with-divorced-parents/,468696
6 Ways the 1904 Olympics Were the Craziest Event Ever Held,Matthew Kitchen,2014-02-13 00:00:00,http://www.cracked.com/blog/6-ways-1904-olympics-were-craziest-event-ever-held/,521086
5 Sketchy Facts You Didn't Know About Valentine's Day,Brendan McGinley,2014-02-13 00:00:00,http://www.cracked.com/blog/5-sketchy-facts-you-didnt-know-about-valentines-day/,605689
20 Accidentally Disastrous Valentine's Day Messages,CRACKED Readers,2014-02-14 00:00:00,http://www.cracked.com/photoplasty_797_20-accidentally-disastrous-valentines-day-messages/,459304
6 Important Steps to Becoming a Dance Machine,Adam Tod Brown,2014-02-14 00:00:00,http://www.cracked.com/blog/6-important-steps-to-becoming-dance-machine/,147550
